"id","pollingfirm","poll_date","n","party_a","party_o","party_v","party_aa","party_a_res","party_o_res","party_v_res","party_aa_res"
1342,"Voxmeter",2019-05-29,1011,27.1,11.1,17.5,3.6,25.9,8.7,23.4,3
1344,"YouGov",2019-05-30,978,28.1,9.5,18.3,2.6,25.9,8.7,23.4,3
1345,"Voxmeter",2019-05-30,1009,27.2,11.6,17.9,3.3,25.9,8.7,23.4,3
1346,"YouGov",2019-05-31,979,26.6,9,20.3,2.8,25.9,8.7,23.4,3
1348,"Voxmeter",2019-05-31,1005,27.5,11.1,17.8,2.9,25.9,8.7,23.4,3
1349,"YouGov",2019-06-01,870,28.5,8.5,20.9,2.3,25.9,8.7,23.4,3
1350,"Voxmeter",2019-06-01,1006,28.3,10.7,17.4,2.7,25.9,8.7,23.4,3
1351,"YouGov",2019-06-02,776,29,8.3,20.8,2.4,25.9,8.7,23.4,3
1352,"Voxmeter",2019-06-02,1006,29.7,9.9,17.7,2.9,25.9,8.7,23.4,3
1355,"Voxmeter",2019-06-03,1003,29.8,10.1,18.2,2.8,25.9,8.7,23.4,3
1357,"YouGov",2019-06-04,1075,27.3,11.3,18.6,2.7,25.9,8.7,23.4,3
1360,"Voxmeter",2019-06-04,5435,26.4,9.2,19.9,3.2,25.9,8.7,23.4,3
